class,path,width,height,alpha_bbox,pair_key,source
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/skills_information/00_full_screens/clean_full_screen.png,701,492,"0,0,701,492",full_screen,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/skills_information/00_full_screens/clean_full_screen.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/skills_information/03_headers_accents/accent_corner_frame.png,97,136,"0,0,97,136",accent_corner_frame,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/skills_information/03_headers_accents/accent_corner_frame.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/skills_information/03_headers_accents/accent_orange_divider.png,142,44,"0,0,142,44",accent_orange_divider,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/skills_information/03_headers_accents/accent_orange_divider.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/skills_information/03_headers_accents/accent_honeycomb.png,67,81,"0,0,67,81",accent_honeycomb,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/skills_information/03_headers_accents/accent_honeycomb.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/skills_information/03_headers_accents/accent_blue_divider.png,133,63,"0,0,133,63",accent_blue_divider,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/skills_information/03_headers_accents/accent_blue_divider.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/skills_information/03_headers_accents/clean_top_information_panel.png,282,106,"0,0,282,106",top_information_panel,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/skills_information/03_headers_accents/clean_top_information_panel.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/02_rows_buttons/clean_list_row.png,151,57,"0,0,151,57",list_row,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/02_rows_buttons/clean_list_row.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/02_rows_buttons/right_arrow.png,82,94,"0,0,82,94",right_arrow,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/02_rows_buttons/right_arrow.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/02_rows_buttons/left_arrow.png,85,94,"0,0,85,94",left_arrow,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/02_rows_buttons/left_arrow.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/02_rows_buttons/clean_stats_button.png,188,74,"0,0,188,74",stats_button,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/02_rows_buttons/clean_stats_button.png
